device,ip_addr,mac_addr,interface,age
dist-rtr01,172.16.252.21,5254.0011.2287,GigabitEthernet2,-
dist-rtr01,172.16.252.22,5254.001d.7171,GigabitEthernet2,78
dist-rtr01,172.16.252.25,5254.0008.4646,GigabitEthernet3,-
dist-rtr01,172.16.252.26,5254.000f.c6e8,GigabitEthernet3,88
dist-rtr01,172.16.252.1,5254.0012.7689,GigabitEthernet4,12
dist-rtr01,172.16.252.2,5254.000f.a8cd,GigabitEthernet4,-
dist-rtr01,172.16.252.10,5254.0014.3f67,GigabitEthernet5,-
dist-rtr01,172.16.252.9,5254.001f.7d31,GigabitEthernet5,12
dist-rtr01,172.16.252.17,5254.0008.343b,GigabitEthernet6,-
dist-rtr01,172.16.252.18,5254.001c.1784,GigabitEthernet6,90
dist-rtr02,172.16.252.29,5254.0010.599a,GigabitEthernet2,-
dist-rtr02,172.16.252.30,5254.0016.7143,GigabitEthernet2,78
dist-rtr02,172.16.252.33,5254.0000.7fe9,GigabitEthernet3,-
dist-rtr02,172.16.252.34,5254.000f.1646,GigabitEthernet3,88
dist-rtr02,172.16.252.5,5254.0012.7689,GigabitEthernet4,12
dist-rtr02,172.16.252.6,5254.0002.401b,GigabitEthernet4,-
dist-rtr02,172.16.252.13,5254.001f.7d31,GigabitEthernet5,12
dist-rtr02,172.16.252.14,5254.0010.53e6,GigabitEthernet5,-
dist-rtr02,172.16.252.17,5254.0008.343b,GigabitEthernet6,90
dist-rtr02,172.16.252.18,5254.001c.1784,GigabitEthernet6,-
