time,value1,operator,value2,result
2024-03-20 06:30:13.740,root>,==,root>,True
2024-03-20 06:31:53.021,root@R01>,==,root@R01>,True
2024-03-20 06:31:54.588,0,==,0,True
2024-03-20 06:31:54.588,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.589,10.0.0.2,==,10.0.0.2,True
2024-03-20 06:31:54.589,0,==,0,True
2024-03-20 06:31:54.589,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.590,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.590,3,==,3,True
2024-03-20 06:31:54.590,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.591,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.591,3,==,3,True
2024-03-20 06:31:54.592,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.592,0.0.0.0,==,0.0.0.0,True
2024-03-20 06:31:54.592,Full,==,Full,True
2024-03-20 06:31:54.592,2Way,==,2Way,True
2024-03-20 06:31:54.592,Full,==,Full,True
2024-03-20 06:31:54.593,Full,==,Full,True
2024-03-20 06:31:54.593,10.0.99.2,==,10.0.99.2,True
2024-03-20 06:31:54.593,1,==,1,True
