Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.10      YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3046  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3103  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3610  172.16.101.10   YES TFTP   up                    up      
Gi2.3610102            172.16.102.10   YES TFTP   up                    up      
Gi2.3610103            172.16.103.10   YES TFTP   up                    up      
Gi2.3610142            172.16.142.10   YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback101            192.168.101.10  YES TFTP   up                    up      
Loopback102            192.168.102.10  YES TFTP   up                    up      
Loopback103            192.168.103.10  YES TFTP   up                    up      
Loopback142            192.168.142.10  YES TFTP   up                    up
