Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.3       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3023  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3034  10.3.4.3        YES NVRAM  up                    up      
GigabitEthernet2.3037  unassigned      YES NVRAM  deleted               down    
Gi2.3777023            10.2.3.3        YES TFTP   up                    up      
Gi2.3888311            10.3.11.3       YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.3        YES NVRAM  up                    up      
Loopback1              10.111.111.3    YES manual up                    up      
Loopback2              10.222.222.3    YES manual up                    up      
Tunnel0                10.111.111.3    YES unset  up                    up      
Tunnel1                10.111.111.3    YES TFTP   up                    up      
Tunnel2                10.0.0.3        YES unset  up                    up
