Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      10.0.0.11       Up              Up       default 
MgmtEth0/0/CPU0/0              10.0.90.11      Up              Up       MGMT    
GigabitEthernet0/0/0/0         unassigned      Up              Up       default 
GigabitEthernet0/0/0/0.3511    10.5.11.11      Up              Up       default 
GigabitEthernet0/0/0/0.3888311 10.3.11.11      Up              Up       L3A     
GigabitEthernet0/0/0/1         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/2         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/3         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/4         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/5         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/6         unassigned      Shutdown        Down     default
