Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.4       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3034  10.3.4.4        YES NVRAM  up                    up      
GigabitEthernet2.3048  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3049  10.4.9.4        YES TFTP   up                    up      
GigabitEthernet2.3410  10.4.10.4       YES TFTP   up                    up      
GigabitEthernet2.3412  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3413  10.4.13.4       YES TFTP   up                    up      
GigabitEthernet2.3414  10.4.14.4       YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.4        YES NVRAM  up                    up
