Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      10.0.0.13       Up              Up       default 
MgmtEth0/0/CPU0/0              10.0.90.13      Up              Up       MGMT    
GigabitEthernet0/0/0/0         unassigned      Up              Up       default 
GigabitEthernet0/0/0/0.3123    172.16.13.13    Up              Up       default 
GigabitEthernet0/0/0/0.3534    10.5.34.13      Up              Up       default 
GigabitEthernet0/0/0/0.3913    10.9.13.13      Up              Up       default 
GigabitEthernet0/0/0/1         unassigned      Up              Up       default 
GigabitEthernet0/0/0/2         unassigned      Up              Up       default 
GigabitEthernet0/0/0/3         unassigned      Up              Up       default 
GigabitEthernet0/0/0/4         unassigned      Up              Up       default 
GigabitEthernet0/0/0/5         unassigned      Up              Up       default 
GigabitEthernet0/0/0/6         unassigned      Up              Up       default
